Time [ms],Ox High (FLowmeter),Ox Low (Flowmeter),Eth High (Flowmeter),Eth Low (Flowmeter),Eth Chamber Pres.,Ox Chamber Pres.,Chamber Pres.,Load Cell,Thermocouple [C]
20062,15.84,17.12,-46.28,-49.15,-0.79,2.23,8.28,0,33.5
20163,12.26,17.12,-42.91,-52.56,-0.79,11.3,5.26,0,33.5
20264,8.67,20.73,-46.28,-45.73,2.23,-3.81,5.26,0,33.5
20365,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,0,33.5
20466,12.26,20.73,-46.28,-45.73,5.26,5.26,5.26,0,33.5
20567,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.5
20668,8.67,20.73,-42.91,-45.73,-0.79,2.23,8.28,0,33.5
20769,12.26,20.73,-46.28,-45.73,5.26,5.26,5.26,0,33.5
20870,8.67,13.51,-42.91,-45.73,2.23,5.26,5.26,0,33.5
20971,12.26,17.12,-42.91,-45.73,-0.79,2.23,14.33,0,33.5
21072,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
21173,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,0,33.5
21274,12.26,17.12,-46.28,-45.73,-0.79,5.26,2.23,0,33.5
21375,8.67,17.12,-46.28,-45.73,-15.91,2.23,-9.86,0,33.5
21476,8.67,17.12,-42.91,-49.15,-0.79,2.23,5.26,0,33.5
21577,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.5
21678,12.26,17.12,-39.53,-45.73,5.26,5.26,2.23,0,33.5
21779,8.67,17.12,-42.91,-45.73,2.23,2.23,8.28,0,33.5
21880,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.5
21981,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
22082,12.26,20.73,-46.28,-45.73,2.23,2.23,11.3,0,33.5
22183,8.67,17.12,-46.28,-45.73,2.23,2.23,11.3,0,33.5
22284,12.26,17.12,-46.28,-45.73,2.23,2.23,11.3,0,33.5
22385,12.26,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
22486,12.26,17.12,-46.28,-45.73,-0.79,5.26,2.23,0,33.5
22587,12.26,20.73,-42.91,-45.73,-0.79,5.26,5.26,0,33.5
22689,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
22790,12.26,17.12,-46.28,-49.15,2.23,2.23,5.26,0,33.5
22890,12.26,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.75
22992,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
23093,12.26,17.12,-46.28,-45.73,2.23,8.28,2.23,0,33.5
23193,15.84,17.12,-46.28,-45.73,8.28,2.23,5.26,0,33.5
23295,8.67,17.12,-42.91,-49.15,5.26,5.26,5.26,0,33.5
23395,8.67,17.12,-46.28,-42.32,2.23,5.26,5.26,22.09,33.5
