x,SL,4000ft,8000ft,12000ft,16000ft,20000ft,24000ft,28000ft,31000ft,std_37C,std_30C,std_20C,std_10C,std,std_neg10C,std_neg20C,std_neg30C
-11.141,161.8267,-858.063,105.713,106.0388,89.0715,72.642,57.5483,43.2957,34.338,20.0353,36.6107,53.7717,72.9008,94.6631,-105.7478,-1860.4674,-47004.1401
-10.2435,160.4596,-771.6723,110.681,109.1272,87.9522,71.5976,56.6778,42.5335,33.6627,20.1253,37.1693,54.5236,73.6813,95.7689,-148.821,-2036.7519,-49776.3287
-9.7085,159.6447,-722.6317,113.2807,108.309,87.3071,70.9638,56.1508,42.0792,33.2608,20.2084,37.5002,54.9677,74.1374,96.4789,-177.0182,-2146.6187,-51479.2276
-9.1424,158.7824,-672.6855,125.2226,107.4549,86.6405,70.2851,55.5857,41.5984,32.8361,20.3197,37.8491,55.4337,74.614,97.1984,-208.9971,-2266.8649,-53323.0282
-8.9566,158.4994,-656.7238,124.9622,107.1764,86.424,70.0607,55.3985,41.4406,32.6969,20.3614,37.9633,55.5858,74.7692,97.4175,-219.9848,-2307.2343,-53937.6105
-8.4726,157.7621,-616.1288,124.2765,106.4541,85.862,69.4729,54.9069,41.0295,32.3343,20.4817,38.2605,55.9796,75.1712,97.9404,-249.7777,-2414.5215,-55560.7047
-6.6768,155.0268,-477.6192,121.6853,103.8,83.7681,67.2589,53.0365,39.5042,30.9936,21.0715,39.359,57.4139,76.6416,99.4759,-375.7797,-2840.0222,-61865.9874
-6.5842,154.8856,-470.9748,121.5505,103.6638,83.6588,67.1436,52.9382,39.4255,30.9246,21.1079,39.4156,57.4869,76.7169,99.5473,-382.9713,-2863.1784,-62203.6502
-5.9588,153.9331,-427.385,120.6384,102.7455,82.9166,66.3642,52.2704,38.8943,30.4594,21.3681,39.7977,57.9765,77.2252,100.0234,-433.354,-3022.6048,-64514.5388
-4.1008,151.1033,-310.3194,117.9144,100.024,80.6612,64.0471,50.248,37.3162,29.0831,22.2864,40.9361,59.4069,78.7426,101.4959,-602.8586,-3529.4135,-71715.561
-3.3187,149.9121,-266.3734,116.7632,98.8791,79.6888,63.0804,49.3823,36.652,28.5065,22.7348,41.4183,59.9993,79.3903,102.2363,-683.5464,-3758.0208,-74899.9898
-3.2264,149.7715,-261.3874,116.6272,98.744,79.5732,62.967,49.2797,36.5736,28.4385,22.7901,41.4753,60.0689,79.4673,102.3346,-693.4499,-3785.6137,-75281.929
-1.6958,147.4405,-184.6849,114.3689,96.4993,77.6341,61.126,47.5656,35.2737,27.3157,23.7743,42.4282,61.2145,80.7611,108.341,-869.7739,-4262.3134,-81804.9826
-1.6955,147.4402,-184.674,114.3686,96.499,77.6338,61.1258,47.5653,35.2735,27.3155,23.7744,42.4283,61.2147,80.7613,108.3417,-869.8028,-4262.3895,-81806.0128
